Iteration,n_neighbors,n_components,min_cluster_size,outliers,silhouette,davies_bouldin,meets_criteria,cluster_sizes,representative_words
1,15,5,1800,16939,0.02777059,4.372603316826778,False,"[16939, 5213, 44583]","['vendor update ticket new dispute empire help link account support pgp experience best mod key day usa uk id mirror', 'market dream empire vendor nightmare new scam order crosspost marketplace exit wall apollon best link account cryptonia nt markets update', 'vendor review order mdma uk best mg weed looking xanax free new crosspost cocaine sale need shipping lsd good coke']"
1,15,5,1950,13532,0.027110122,4.222581032876431,False,"[13532, 4932, 48271]","['empire vendor update ticket dispute link new support help experience mod key pgp account mirror id working order source onion', 'market dream empire vendor nightmare new wall scam marketplace exit apollon street crosspost order best cryptonia markets update samsara account', 'vendor review order uk mdma best mg new weed looking xanax free crosspost cocaine sale need shipping lsd good help']"
1,15,10,300,31246,0.030508522,3.852012194320332,False,"[31246, 21715, 11086, 1662, 723, 303]","['vendor new uk best mdma free looking crosspost sale review need usa lsd shipping question dread good price domestic sample', 'market vendor empire dream order account nightmare bitcoin card new monero scammer scam deposit bank btc carding pgp wallet key', 'review vendor weed xanax mg cocaine coke drug ketamine uk mdma best cannabis pill darknet free dark meth new crosspost', 'ticket dispute help support mod need month deposit moderator response day mods resolved week look reply open se en missing', 'update maintenance updated upgrade vendor order updates quick dbay status updating jberg clearlythebest important ctb electrum new list pack good', 'link working main phishing url links pm new captcha urls work need got page posting beware verify help fresh guy']"
1,15,10,450,34717,0.038952224,3.519359629043339,False,"[34717, 18413, 11007, 1182, 729, 687]","['vendor new market best empire uk mdma free help looking sale need crosspost link usa question dispute shipping lsd order', 'market vendor dream order bitcoin card nightmare monero bank carding account scammer btc deposit pack wallet scam package looking nt', 'review vendor weed mg xanax cocaine coke drug mdma uk ketamine best cannabis sample pill free darknet dark meth crosspost', 'empire dispute deposit vendor order market scam account scammer issue exit btc banned scamming working safe crosspost scammed withdrawal phishing', 'update maintenance updated upgrade vendor order updates quick dbay feedback status updating jberg important clearlythebest ctb electrum new list change', 'ticket support deposit help month response missing reply empire mod open double account se en day week look answered tickets']"
1,15,10,600,33885,0.038347494,3.3891726254015175,False,"[33885, 21681, 6280, 3555, 677, 657]","['vendor new free mdma best uk help crosspost need sale looking dispute shipping usa lsd question account pgp link market', 'market vendor empire dream order nightmare bitcoin card scammer scam bank carding deposit btc looking account pack best exit wallet', 'weed xanax mg coke vendor cocaine drug uk best cannabis darknet pill dark web ketamine quality mdma meth new looking', 'review vendor mg mdma sample crosspost free xanax lsd ketamine reviews cocaine distillate product heinekenexpress meth ug etizolam vendymcvendface cart', 'update updated upgrade vendor order updates quick status updating jberg clearlythebest ctb electrum new list important pack good methylamph situation', 'ticket support deposit help month response missing reply mod open double account se en day week look answered dispute empire']"
1,15,10,750,35241,0.024018519,3.4821253486106123,False,"[35241, 21011, 3710, 3650, 2306, 817]","['vendor new free help best update mdma uk need ticket account crosspost dispute looking support sale shipping link question pgp', 'vendor market empire dream weed xanax best uk cocaine mg nightmare coke bitcoin card looking new scammer drug scam good', 'mdma lsd shit whats got fuck wsm going guy like dmt dead ddos fucking cb drop dd nt og xmr', 'review vendor mg mdma sample crosspost lsd xanax ketamine distillate cocaine reviews heinekenexpress product pack meth cart oz vendymcvendface ug', 'order package pack delivery shipping shipped ordering time box delivered ordered cancel cancelled arrived day nt informed vendor seized post', 'tried experience ordered anybody used bought recently try order vendor does vouch purchased deal got use dealt lately buy lsd']"
1,15,10,900,37507,0.045560356,3.5275495045739875,True,"[37507, 17454, 3642, 3539, 2605, 1988]","['vendor new free help best mdma uk update account need crosspost ticket looking dispute sale order support shipping question link', 'vendor market empire dream weed xanax best uk mg cocaine nightmare coke scammer looking scam drug new mdma sale ketamine', 'mdma lsd got shit fuck whats wsm like dmt going guy ddos fucking cb dead drop dd og xmr btc', 'review vendor mg mdma sample crosspost lsd xanax ketamine distillate cocaine reviews heinekenexpress product pack meth ug vendymcvendface oz cart', 'card bitcoin carding wallet credit coin btc paypal bank cash gift debit need cashout help account coinbase cc buy transaction', 'order package delivery shipping pack shipped time ordering delivered ordered arrived cancelled cancel informed day nt vendor post received mail']"
1,15,10,1050,38973,0.049052797,3.408335517959108,True,"[38973, 16654, 3604, 3500, 2030, 1974]","['vendor new free help best account mdma uk crosspost update need ticket looking dispute sale support question order market link', 'vendor market empire dream weed xanax mg cocaine uk best nightmare coke scammer looking new mdma scam ketamine cannabis sale', 'mdma lsd shit got fuck whats wsm dmt like guy going cb fucking ddos drop dd og fud btc xmr', 'review vendor mg mdma crosspost lsd xanax sample ketamine distillate cocaine reviews heinekenexpress product meth vendymcvendface oz ug karmaking pack', 'card carding wallet credit bitcoin coin btc debit coinbase bank cash need help paypal cards cashout currency cc gift prepaid', 'order package delivery shipping shipped pack ordering time delivered cancelled ordered cancel vendor day informed nt post arrived received mail']"
1,15,10,1200,38098,0.06048816,3.6545148124529634,True,"[38098, 9289, 7285, 6331, 3782, 1950]","['vendor new free best help uk mdma account update need crosspost ticket dispute looking sale support order question shipping usa', 'market vendor empire dream nightmare scammer scam looking new exit good crosspost sale legit scamming buyer best order uk need', 'card carding bitcoin wallet btc credit coin looking cash paypal method need cashout bank cc good debit help xmr use', 'weed xanax mg cocaine vendor uk cannabis best ketamine pill drug quality mdma coke meth heroin new usa price sale', 'review vendor mg mdma sample crosspost lsd xanax distillate ketamine cocaine heinekenexpress reviews product cart oz feedback vendymcvendface kush meth', 'order package delivery shipping shipped pack ordering time delivered ordered day cancelled cancel post vendor nt informed arrived long mail']"
1,15,10,1350,39588,0.064584285,3.487432753819019,True,"[39588, 9085, 6310, 5977, 3924, 1851]","['vendor new free best help uk account need crosspost update mdma ticket looking dispute support sale question order link usa', 'market vendor empire dream nightmare looking scammer scam new good sale crosspost legit buyer order best need lsd trusted uk', 'weed xanax mg vendor cocaine uk ketamine cannabis best pill drug quality mdma meth heroin new usa price sale high', 'card wallet btc credit coin carding cash cashout mdma bitcoin method coinbase xmr lsd bank debit exchange looking drop cc', 'review vendor mg mdma sample crosspost lsd xanax distillate ketamine feedback cocaine reviews dream heinekenexpress product cart karmaking vendymcvendface oz', 'order shipping delivery package shipped ordering time pack ordered post vendor day delivered nt cancel cancelled informed long mail arrived']"
1,15,10,1500,40752,0.06775727,3.3707890764634976,True,"[40752, 8713, 6142, 5561, 3950, 1617]","['vendor new best free help uk need crosspost account update mdma looking order dispute ticket support sale question coke scammer', 'market vendor dream empire nightmare looking new good sale legit crosspost scam buyer order best trusted need scammer lsd reliable', 'weed xanax mg vendor ketamine uk cannabis best cocaine pill drug quality mdma meth heroin new usa price sale adderall', 'wallet btc card coin credit mdma lsd coinbase cashout xmr cash bank method exchange shit debit currency looking drop account', 'review vendor mg mdma sample crosspost lsd xanax distillate dream feedback ketamine cocaine reviews heinekenexpress product cart karmaking oz vendymcvendface', 'order shipping delivery package shipped ordering time ordered day post delivered pack nt arrived mail long informed express marked vendor']"
1,15,10,1650,43022,0.06826836,3.1126621788729465,False,"[43022, 5189, 3961, 5968, 2905, 5690]","['vendor order new best help free uk crosspost need account mdma empire update shipping dispute looking ticket question cocaine sale', 'market dream empire nightmare vendor new scam order marketplace exit apollon crosspost account best link cryptonia markets nt dreammarket working', 'review vendor mg mdma sample crosspost lsd xanax dream feedback distillate ketamine cocaine reviews heinekenexpress product cart karmaking oz vendymcvendface', 'wallet btc coin card looking mdma credit lsd cashout cash coinbase good xmr dread bank cc shit method exchange account', 'vendor looking sale good legit buyer seller trusted uk selling lsd sell vendors need reliable domestic cc shop list supplier', 'weed xanax mg vendor ketamine cannabis uk best pill drug quality mdma heroin meth cocaine new usa price adderall sale']"
1,15,10,1800,44430,0.07318644,2.994627113857638,False,"[44430, 4855, 3978, 5344, 2776, 5352]","['vendor order new best uk help free empire need crosspost account mdma shipping update looking dispute cocaine ticket question sale', 'market dream empire nightmare vendor new scam order marketplace exit apollon crosspost best account cryptonia markets dreammarket scammer wall berlusconi', 'review vendor mg mdma sample crosspost lsd xanax dream feedback distillate ketamine cocaine reviews heinekenexpress product cart karmaking oz vendymcvendface', 'wallet btc coin mdma lsd card good cashout looking xmr shit exchange drop cash got method credit bank wsm cc', 'vendor looking sale good legit seller buyer trusted lsd selling sell vendors uk need reliable cc domestic shop list wsm', 'xanax weed mg vendor ketamine uk best cannabis pill drug mdma quality meth heroin new usa cocaine price adderall sale']"
1,15,10,1950,24642,0.032385383,3.8736006407670076,False,"[24642, 4223, 37870]","['vendor empire new update help dispute ticket account link support dream best need pgp uk crosspost day monero experience order', 'market dream vendor empire nightmare new scam marketplace apollon exit order crosspost best wall markets cryptonia update dreammarket berlusconi account', 'vendor review order mdma uk weed mg best xanax looking free cocaine crosspost sale new shipping lsd good need quality']"
1,15,15,300,31248,0.030716915,3.817562685522355,False,"[31248, 21737, 11097, 1626, 716, 311]","['vendor new uk best mdma looking free sale crosspost need usa review lsd shipping question good price dread order legit', 'market vendor empire dream order account nightmare bitcoin card new monero deposit scammer bank btc scam carding pgp wallet key', 'review vendor xanax weed mg cocaine coke drug ketamine uk mdma best cannabis pill free darknet sample dark meth crosspost', 'ticket dispute help support mod need month deposit response moderator day resolved week reply look mods open se en missing', 'update maintenance updated upgrade vendor order updates quick dbay status updating clearlythebest important ctb jberg electrum new list pack good', 'link working main pm url phishing links captcha new urls work need got page posting beware verify fresh guy posted']"
1,15,15,450,33060,0.028889364,3.6157636746076194,False,"[33060, 19458, 8178, 4639, 717, 683]","['vendor new best uk mdma free help crosspost need sale looking usa lsd question shipping dispute link dread market good', 'market vendor empire dream order nightmare scammer bitcoin card account scam monero deposit bank carding btc best looking wallet crosspost', 'review vendor weed mg xanax coke cocaine sample cannabis mdma uk free best pill ketamine crosspost quality product meth drug', 'tried anybody experience mdma ordered lsd heard used know got try recently bought does shit vouch whats wsm order fuck', 'update maintenance updated upgrade vendor order updates quick dbay status updating clearlythebest important ctb jberg electrum new list pack good', 'ticket support deposit help month response reply missing empire mod open double account se en day week look answered dispute']"
1,15,15,600,35506,0.039306406,3.3928726268941354,False,"[35506, 20402, 5799, 3690, 676, 662]","['vendor new best free mdma uk help looking sale crosspost need dispute usa shipping lsd question pgp link order market', 'market vendor empire dream order nightmare bitcoin card bank deposit scammer carding scam btc account wallet pack looking package exit', 'weed mg xanax coke cocaine vendor drug uk cannabis best darknet dark pill web quality meth mdma ketamine looking price', 'review vendor sample mg mdma free crosspost xanax lsd ketamine distillate samples product cocaine reviews heinekenexpress etizolam ug meth vendymcvendface', 'update updated upgrade vendor order updates quick status updating clearlythebest ctb jberg electrum new list important pack good methylamph situation', 'ticket support deposit help month response missing reply open mod double account se en day empire week answered look dispute']"
1,15,15,750,35055,0.02356576,3.4752973484022087,False,"[35055, 21240, 3689, 3688, 2265, 798]","['vendor new free help update best uk mdma need ticket crosspost dispute account looking support sale link shipping pgp question', 'vendor market empire dream weed best xanax uk mg cocaine nightmare coke bitcoin looking card scammer scam new drug mdma', 'review vendor mg sample mdma crosspost lsd xanax ketamine distillate cocaine reviews product heinekenexpress pack oz cart vendymcvendface meth ug', 'mdma lsd got shit fuck whats wsm like going dmt guy ddos fucking cb dead drop dd fud og btc', 'order package pack delivery shipping shipped ordering time box delivered ordered arrived nt cancel cancelled vendor informed day seized post', 'tried experience ordered anybody used bought recently try order vouch vendor does purchased deal got use dealt buy lsd lately']"
1,15,15,900,37548,0.04609127,3.5205343699989315,True,"[37548, 17320, 3638, 3616, 2620, 1993]","['vendor new free help best mdma uk account update need crosspost ticket dispute looking market sale support link order empire', 'vendor market empire dream weed xanax best mg uk cocaine coke nightmare scammer drug looking scam new mdma cannabis sale', 'mdma lsd got shit fuck whats like going wsm guy dmt cb ddos drop dd fucking dead fud og btc', 'review vendor mg mdma sample crosspost lsd xanax ketamine distillate reviews cocaine heinekenexpress product pack meth oz vendymcvendface ug cart', 'card bitcoin carding wallet credit coin btc paypal bank cash gift debit need cashout account coinbase help buy cc transaction', 'order package delivery shipping pack shipped ordering time delivered ordered arrived cancelled informed nt cancel vendor day post received marked']"
1,15,15,1050,38992,0.04942741,3.4171452082267306,True,"[38992, 16479, 3656, 3618, 2080, 1910]","['vendor new free help best account mdma uk crosspost need update ticket looking dispute sale support question order link shipping', 'vendor market empire dream weed xanax mg cocaine uk best nightmare coke scammer looking new ketamine scam mdma cannabis sale', 'review vendor mg mdma crosspost sample lsd xanax ketamine distillate cocaine reviews product heinekenexpress pack oz meth cart vendymcvendface ug', 'mdma lsd got shit fuck whats like wsm dmt guy going cb ddos drop dd fucking og fud btc xmr', 'card carding wallet bitcoin credit coin btc paypal debit bank coinbase cash need cashout help cc cards account currency exchange', 'order package delivery shipping shipped pack ordering time delivered ordered cancelled cancel nt vendor informed arrived day post marked received']"
1,15,15,1200,39994,0.05293845,3.3890378017389766,True,"[39994, 15710, 3876, 3842, 1926, 1387]","['vendor new free help best uk account crosspost need mdma update looking ticket dispute sale question support order shipping deposit', 'vendor market empire dream weed xanax mg uk nightmare best cocaine new looking ketamine mdma cannabis sale pill good scammer', 'review vendor mg mdma sample crosspost lsd xanax distillate ketamine cocaine reviews heinekenexpress product dream feedback cart karmaking vendymcvendface oz', 'mdma lsd got fuck shit whats wsm guy like dmt drop going fucking cb dead ddos wickr btc dd xmr', 'order package delivery shipping shipped pack ordering time delivered ordered cancelled vendor cancel post day informed nt arrived long marked', 'card wallet carding credit coin btc bitcoin debit coinbase bank cash need currency cc exchange paypal account cashout loan method']"
1,15,15,1350,39854,0.06507354,3.4880438532187243,True,"[39854, 8924, 6123, 6103, 3924, 1807]","['vendor new free best help uk need crosspost account mdma update ticket looking dispute sale order support question shipping usa', 'market vendor empire dream nightmare looking new good scam sale scammer crosspost legit order best buyer link need lsd wsm', 'card wallet btc credit coin carding bitcoin cash cashout mdma method looking bank xmr coinbase paypal lsd debit cc exchange', 'weed xanax mg vendor cocaine uk cannabis ketamine best pill drug quality mdma meth heroin new usa price sale high', 'review vendor mg mdma sample crosspost lsd xanax distillate ketamine dream cocaine reviews feedback heinekenexpress product cart karmaking vendymcvendface oz', 'order shipping delivery package shipped ordering time pack ordered post delivered day nt vendor informed cancelled arrived long mail marked']"
1,15,15,1500,41575,0.06946886,3.351488119872826,False,"[41575, 8371, 5676, 5511, 3975, 1627]","['vendor new best free uk help crosspost need account mdma update looking order ticket dispute sale support question scammer coke', 'market vendor dream empire nightmare looking new good sale legit crosspost scam order buyer need best wsm trusted cryptonia lsd', 'weed xanax mg vendor cannabis uk ketamine best pill cocaine drug quality mdma heroin meth new usa price adderall sale', 'wallet btc card coin credit mdma lsd coinbase cashout cash xmr debit bank looking method exchange currency shit drop account', 'review vendor mg mdma sample crosspost lsd xanax dream distillate feedback ketamine cocaine reviews product heinekenexpress cart karmaking oz vendymcvendface', 'order shipping delivery shipped package ordering time ordered delivered pack day nt post mail informed arrived long marked express received']"
1,15,15,1650,43163,0.06853313,3.1077076568900504,False,"[43163, 5387, 3977, 5742, 5634, 2832]","['vendor order new best help uk free need crosspost account mdma shipping update dispute looking ticket empire question cocaine sale', 'market dream empire nightmare vendor new scam order marketplace exit link crosspost apollon account wall best cryptonia markets nt use', 'review vendor mg mdma sample crosspost lsd xanax dream distillate feedback ketamine cocaine reviews heinekenexpress product cart karmaking oz vendymcvendface', 'wallet btc coin card mdma credit looking lsd cashout cash coinbase xmr bank good shit cc exchange debit drop account', 'weed xanax mg vendor cannabis ketamine uk best pill drug quality mdma cocaine meth heroin new usa price sale adderall', 'vendor looking sale good legit buyer seller lsd selling trusted uk sell vendors reliable domestic need cc shop list wsm']"
1,15,15,1800,18421,0.028241381,4.456757944235266,False,"[18421, 5465, 42849]","['vendor new update ticket dispute help empire support link account pgp experience need mod uk day key usa best id', 'market dream empire vendor nightmare new scam order wall exit link crosspost marketplace apollon account best cryptonia street nt markets', 'vendor review order mdma uk best mg weed xanax looking free cocaine crosspost new sale shipping lsd need good coke']"
1,15,15,1950,11347,0.02580492,4.4980682931808476,False,"[11347, 5562, 49826]","['empire ticket update vendor dispute link support help new mod experience key pgp mirror onion working source id dark order', 'market dream empire nightmare vendor new wall scam wallstreet street crosspost exit marketplace order apollon link best update account markets', 'vendor review order uk mdma best new mg weed looking cocaine free xanax crosspost sale shipping need lsd good coke']"
1,30,5,300,34498,0.03451462,4.183534148325317,False,"[34498, 25328, 3923, 1923, 715, 348]","['vendor new mdma uk best free crosspost looking sale need usa review shipping lsd btc good help question dread cocaine', 'vendor market review empire dream order weed mg best uk mdma new xanax nightmare coke scammer cocaine scam lsd looking', 'bitcoin monero darknet bank key account dark pgp link web drug login darkweb vendor wallet sentenced log man arrested drop', 'ticket card help carding support need credit deposit month debit cards response empire prepaid question missing carder open physical reply', 'update updated feedback vendor order upgrade updates jberg edit change updating stock quick clearlythebest ctb status list important electrum new', 'dispute resolved resolution day long mod week month processing response disputes look open moderator going waiting solved resolve let need']"
1,30,5,450,35487,0.04256882,3.7621016881461977,True,"[35487, 17800, 9528, 2512, 710, 698]","['vendor new best uk mdma help free need crosspost sale looking usa account link lsd dispute shipping btc question pgp', 'market vendor empire dream order nightmare scammer scam pack exit package looking scamming nt best mdma lsd wsm warning good', 'review vendor weed mg xanax coke cocaine cannabis uk sample mdma drug best free darknet dark pill crosspost web ketamine', 'card bitcoin carding bank account credit monero wallet paypal need debit drop bitcoins buy help cash use service cards question', 'update updated feedback vendor order upgrade updates change jberg edit updating quick clearlythebest ctb status list stock important electrum methylamph', 'ticket support deposit help month response empire missing reply mod double open account se en day week look answered dispute']"
1,30,5,600,34913,0.04139821,3.3723741330451085,False,"[34913, 20636, 6093, 3692, 707, 694]","['vendor new free best mdma uk help crosspost need sale looking link shipping account dispute usa lsd market question pgp', 'market vendor empire dream order nightmare card scammer bitcoin scam carding bank looking pack btc exit package best good deposit', 'weed xanax coke mg cocaine vendor drug uk cannabis best darknet pill dark web quality ketamine meth mdma price looking', 'review vendor mg mdma sample crosspost xanax lsd free ketamine reviews distillate product heinekenexpress cocaine oz vendymcvendface ug kush etizolam', 'update updated feedback vendor order upgrade updates jberg edit change updating quick clearlythebest ctb stock status list important electrum methylamph', 'ticket support deposit help month response empire missing reply mod double open account se en day week look answered dispute']"
1,30,5,750,38764,0.05587139,3.5448029873834637,False,"[38764, 12395, 5688, 4121, 3687, 2080]","['vendor new free best mdma uk help update need crosspost account ticket looking sale shipping dispute link usa order support', 'market vendor empire dream nightmare card scammer scam bitcoin carding exit looking scamming best new bank crosspost need good account', 'weed mg coke xanax cocaine vendor uk drug cannabis best pill darknet dark web quality mdma meth ketamine price looking', 'mdma lsd shit fuck security got whats guy going make like cb wsm sub btc drop dmt privacy subdread fucking', 'review vendor mg mdma sample crosspost lsd xanax ketamine distillate reviews heinekenexpress cocaine product oz vendymcvendface kush ug og pack', 'order package pack delivery shipping shipped ordering delivered cancelled arrived informed ordered cancel nt day vendor box time seized received']"
1,30,5,900,39357,0.053078413,3.3747888885284083,True,"[39357, 15767, 4106, 3627, 2062, 1816]","['vendor new free help best mdma uk crosspost account need update looking ticket dispute sale shipping link support usa order', 'market vendor empire dream weed xanax mg cocaine coke uk best nightmare scammer scam looking new cannabis ketamine mdma good', 'mdma lsd shit fuck got whats guy going security make wsm cb like dmt drop ddos privacy sub fucking read', 'review vendor mg mdma crosspost sample lsd xanax ketamine distillate reviews heinekenexpress product cocaine oz vendymcvendface pack ug kush cart', 'card carding bitcoin credit wallet paypal coin bank btc debit cash gift coinbase need cashout help cc account cards currency', 'order package delivery shipping shipped pack ordering delivered arrived cancelled ordered informed nt day vendor cancel time marked received placed']"
1,30,5,1050,40314,0.054216027,3.3356753828682715,True,"[40314, 15507, 3741, 3683, 1777, 1713]","['vendor new free help best uk mdma account crosspost need update looking ticket dispute sale link shipping support question usa', 'market vendor empire dream weed xanax mg cocaine uk nightmare best coke looking new cannabis scam scammer mdma ketamine good', 'mdma lsd shit fuck got guy wsm whats going cb dmt like drop fucking opsec ddos dead fud dd wtf', 'review vendor mg mdma crosspost lsd sample xanax distillate ketamine reviews heinekenexpress product cocaine oz vendymcvendface kush ug cart og', 'order delivery package shipping shipped ordering pack cancelled time delivered ordered day cancel vendor nt informed received arrived marked placed', 'card carding credit wallet coin debit paypal btc coinbase bank need cards help cash cashout cc prepaid account method currency']"
1,30,5,1200,38884,0.06393619,3.5487693616800464,True,"[38884, 8844, 7320, 6129, 3904, 1654]","['vendor new free best help uk mdma account crosspost update need ticket dispute looking sale link market support shipping order', 'market vendor empire dream nightmare scammer scam exit looking new scamming crosspost good legit buyer sale order warning lsd best', 'card credit wallet carding btc coin paypal looking need cashout cash good method bank service debit cc mdma bitcoin use', 'weed xanax mg cocaine vendor uk cannabis best ketamine pill quality drug mdma coke meth heroin price new usa sale', 'review vendor mg mdma sample crosspost lsd xanax distillate ketamine reviews cocaine heinekenexpress product cart vendymcvendface oz feedback karmaking kush', 'order delivery shipping shipped package ordering cancelled ordered cancel day vendor time nt placed informed received arrived post pack question']"
1,30,5,1350,40172,0.06805656,3.396837389195958,True,"[40172, 8698, 6290, 6015, 3962, 1598]","['vendor new best free help uk need account crosspost mdma update ticket looking dispute sale link support order shipping question', 'market vendor empire dream nightmare scammer scam looking new good crosspost legit exit sale buyer order scamming best lsd wsm', 'card wallet credit btc coin looking paypal good mdma carding cashout cash lsd coinbase cryptonia debit need cc bank xmr', 'weed xanax mg cocaine vendor uk cannabis ketamine best pill quality mdma drug meth heroin price new usa sale high', 'review vendor mg mdma sample crosspost lsd xanax distillate reviews ketamine cocaine heinekenexpress product dream feedback cart vendymcvendface oz karmaking', 'order delivery shipping shipped package ordering ordered day time nt vendor received delivered informed placed arrived cancelled question post marked']"
